"Plot Title: SN_740"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
278,01/06/19 09:11:43 AM,0.0,25.77,0.0,0.0123,,,,,
279,01/06/19 09:11:58 AM,0.0,25.77,0.0,0.0123,,,,,
280,01/06/19 09:12:13 AM,0.0,25.78,0.0,0.0123,,,,,
281,01/06/19 09:12:28 AM,0.0,25.78,0.0,0.0123,,,,,
282,01/06/19 09:12:43 AM,0.0,25.78,0.0,0.0123,,,,,
283,01/06/19 09:12:58 AM,0.0,25.78,0.0,0.0123,,,,,
284,01/06/19 09:13:13 AM,0.0,25.79,0.0,0.0123,,,,,
285,01/06/19 09:13:28 AM,0.0,25.79,0.0,0.0123,,,,,
286,01/06/19 09:13:43 AM,0.0,25.79,0.0,0.0123,,,,,
287,01/06/19 09:13:58 AM,0.0,25.79,0.0,0.0123,,,,,
288,01/06/19 09:14:13 AM,0.0,25.79,0.0,0.0123,,,,,
289,01/06/19 09:14:28 AM,0.0,25.80,0.0,0.0123,,,,,
290,01/06/19 09:14:43 AM,0.0,25.80,0.0,0.0123,,,,,
291,01/06/19 09:14:58 AM,0.0,25.80,0.0,0.0123,,,,,
292,01/06/19 09:15:13 AM,0.0,25.80,0.0,0.0123,,,,,
293,01/06/19 09:15:28 AM,0.0,25.82,0.0,0.0123,,,,,
294,01/06/19 09:15:43 AM,0.0,25.82,0.0,0.0123,,,,,
295,01/06/19 09:15:58 AM,0.0,25.82,0.0,0.0123,,,,,
296,01/06/19 09:16:13 AM,0.0,25.82,0.0,0.0123,,,,,
297,01/06/19 09:16:28 AM,0.0,25.83,0.0,0.0123,,,,,
298,01/06/19 09:16:43 AM,0.0,25.82,0.0,0.0123,,,,,
299,01/06/19 09:16:58 AM,0.0,25.83,0.0,0.0123,,,,,
300,01/06/19 09:17:13 AM,0.0,25.83,0.0,0.0123,,,,,
301,01/06/19 09:17:28 AM,0.0,25.83,0.0,0.0123,,,,,
302,01/06/19 09:17:43 AM,0.0,25.84,0.0,0.0123,,,,,
303,01/06/19 09:17:58 AM,0.0,25.84,0.0,0.0123,,,,,
304,01/06/19 09:18:13 AM,0.0,25.84,0.0,0.0123,,,,,
305,01/06/19 09:18:28 AM,0.0,25.85,0.0,0.0123,,,,,
306,01/06/19 09:18:43 AM,0.0,25.86,0.0,0.0123,,,,,
307,01/06/19 09:18:58 AM,0.0,25.87,0.0,0.0123,,,,,
308,01/06/19 09:19:13 AM,0.0,25.87,0.0,0.0123,,,,,
309,01/06/19 09:19:28 AM,0.0,25.87,0.0,0.0123,,,,,
310,01/06/19 09:19:43 AM,0.0,25.87,0.0,0.0123,,,,,
311,01/06/19 09:19:58 AM,0.0,25.87,0.0,0.0123,,,,,
